ID_Venda,Data_Venda,Cliente,Animal,Produto,Valor,Pagamento,Vendedor
1,2023-02-05,Laura Silva,roedor,remédio,493.86,pix,Ana Pereira
2,2023-01-17,Lucas Carvalho,pássaro,acessório,366.75,dinheiro,Maria Rodrigues
3,2023-03-18,Ana Ribeiro,cachorro,acessório,464.27,cartão,Isabela Almeida
4,2023-09-30,Ana Pereira,pássaro,higiene,378.23,cartão,Gabriel Rodrigues
5,2023-12-04,João Costa,roedor,ração,79.31,dinheiro,Ana Oliveira
6,2023-05-04,Gabriel Gomes,roedor,remédio,190.96,cartão,Ana Ribeiro
7,2023-05-31,Sofia Almeida,peixe,acessório,221.98,pix,Mateus Carvalho
8,2023-12-06,Maria Silva,peixe,brinquedo,118.46,dinheiro,Isabela Almeida
9,2023-05-19,Pedro Santos,cachorro,brinquedo,119.81,pix,Gabriel Carvalho
10,2023-10-20,Gabriel Ribeiro,gato,ração,304.25,cartão,Isabela Rodrigues
11,2023-05-04,Isabela Costa,roedor,acessório,199.17,dinheiro,Lucas Almeida
12,2023-05-13,Sofia Costa,peixe,higiene,222.3,cartão,Sofia Almeida
13,2023-04-30,Isabela Oliveira,cachorro,brinquedo,349.61,dinheiro,Pedro Carvalho
14,2023-06-27,Maria Silva,peixe,brinquedo,166.47,pix,Ana Santos
15,2023-05-08,Maria Rodrigues,gato,brinquedo,487.03,dinheiro,Sofia Costa
16,2023-02-16,Pedro Almeida,cachorro,higiene,432.08,cartão,Ana Oliveira
17,2023-05-20,Maria Ribeiro,roedor,ração,169.38,dinheiro,João Pereira
18,2023-03-29,João Almeida,cachorro,ração,325.08,dinheiro,João Gomes
19,2023-04-17,Isabela Pereira,gato,brinquedo,471.67,pix,Laura Pereira
20,2023-09-25,Mateus Rodrigues,gato,ração,472.92,pix,Maria Santos
21,2023-12-07,Gabriel Santos,cachorro,remédio,449.02,pix,João Pereira
22,2023-01-04,Gabriel Ribeiro,pássaro,ração,219.26,dinheiro,Maria Pereira
23,2023-01-03,Sofia Costa,gato,acessório,50.28,pix,Gabriel Pereira
24,2023-01-23,Lucas Ribeiro,pássaro,brinquedo,117.63,dinheiro,Ana Silva
25,2023-04-05,Sofia Gomes,pássaro,ração,280.79,cartão,Gabriel Oliveira
26,2023-09-09,Lucas Costa,cachorro,remédio,431.83,cartão,Ana Gomes
27,2023-11-26,Ana Pereira,cachorro,remédio,81.16,pix,João Pereira
28,2023-12-18,Isabela Santos,gato,remédio,399.31,cartão,Isabela Oliveira
29,2023-07-09,Isabela Pereira,roedor,ração,433.13,pix,Pedro Oliveira
30,2023-01-27,Ana Gomes,gato,higiene,425.3,cartão,Pedro Oliveira
31,2023-02-10,Lucas Almeida,pássaro,acessório,116.35,dinheiro,Mateus Rodrigues
32,2023-05-25,Isabela Gomes,gato,ração,33.61,dinheiro,Pedro Rodrigues
